surat_nomor,ayat_nomor,audio_01_juhany,audio_02_qasim,audio_03_sudais,audio_04_dossari,audio_05_afasy,audio_06_yasser
2,16,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002016.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002016.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002016.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002016.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002016.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002016.mp3
2,17,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002017.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002017.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002017.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002017.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002017.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002017.mp3
2,18,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002018.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002018.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002018.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002018.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002018.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002018.mp3
2,19,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002019.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002019.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002019.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002019.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002019.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002019.mp3
2,20,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002020.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002020.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002020.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002020.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002020.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002020.mp3
2,21,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002021.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002021.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002021.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002021.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002021.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002021.mp3
2,22,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002022.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002022.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002022.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002022.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002022.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002022.mp3
2,23,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002023.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002023.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002023.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002023.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002023.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002023.mp3
2,24,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002024.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002024.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002024.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002024.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002024.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002024.mp3
2,25,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002025.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002025.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002025.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002025.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002025.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002025.mp3
